time,AT,BE,BG,CH,CZ,DE,EL,ES,FI,FR,HR,HU,IE,IT,LV,PT,RO,SE,SI,SK
51,0.193089386,0.143251899,0.139263632,0.104423475,0.079063985,0.380783618,0.121732089,0.135796538,0.692757408,0.184395754,0.695284685,0.320911946,0.966356151,0.372901708,0.198795527,0.376101839,0.184781033,0.709444288,0.21457008,0.428227677
52,0.197522581,0.139555206,0.139876003,0.10119751,0.077792302,0.388453068,0.139364442,0.139356701,0.691471379,0.186077726,0.682016603,0.353336273,0.969538813,0.364632307,0.135994907,0.308221012,0.184348227,0.709558753,0.21474245,0.311741287
53,0.188378956,0.140721996,0.147822028,0.098894645,0.076912597,0.375925923,0.171380364,0.136595079,0.691723933,0.192253353,0.669299257,0.366901603,0.988505619,0.356806814,0.09506591,0.270457222,0.169956035,0.709558369,0.213490992,0.13591551
54,0.184728823,0.139844134,0.139263632,0.09799383,0.075904741,0.375628931,0.208988631,0.136356949,0.692467689,0.190579705,0.676017388,0.316408476,1.0,0.325137305,0.082251315,0.299583195,0.164381417,0.710332001,0.212908371,0.121016054
55,0.186412325,0.153914021,0.139263632,0.100026445,0.077516007,0.37750081,0.304096411,0.136356949,0.69523931,0.202712823,0.593110014,0.291521692,1.0,0.239591838,0.071431915,0.381028425,0.167630712,0.711034926,0.211028424,0.117301862
56,0.184728391,0.189627915,0.147944769,0.097626006,0.07730928,0.372028299,0.389368603,0.138370663,0.694342413,0.196438163,0.565864021,0.36123825,1.0,0.241487962,0.062901434,0.357937884,0.16258282,0.712155187,0.250978362,0.106198069
57,0.186223171,0.140181159,0.139876003,0.095957835,0.077052766,0.367810821,0.506822604,0.140640743,0.693071897,0.174122305,0.559258199,0.284500621,1.0,0.238674116,0.062412931,0.3260515,0.162202281,0.713086753,0.282622072,0.100746222
58,0.188842117,0.136690554,0.147944769,0.095910264,0.075644071,0.373445312,0.646086922,0.140172577,0.693893827,0.172590976,0.551782422,0.368897296,1.0,0.266546244,0.061238805,0.400746786,0.163072626,0.71596161,0.268624485,0.100951487
59,0.191695905,0.134516176,0.139876003,0.096608203,0.074652836,0.38143444,0.655629561,0.192273473,0.692990899,0.177448803,0.455551134,0.306358462,1.0,0.330831216,0.064759713,0.469422231,0.161069943,0.717653604,0.24944548,0.103616529
60,0.189149978,0.135384647,0.143989902,0.097611027,0.075406814,0.391242663,0.67513184,0.321986116,0.693179943,0.179262781,0.426005898,0.334739191,1.0,0.347374894,0.073007383,0.495060233,0.159180383,0.716584232,0.215154827,0.102326144
