time,LT,AT,UK,CZ,RO,IT,EL,BG,CH,PT,SK,BE,IE,PL,FI,SE,EE,ES,NO,HR,HU,DE,SI,FR,NL,DK,LV
4695,0.1456343953405713,0.237168972523939,0.303355824386017,0.1999630783000526,0.0511379720352059,0.2085257847186651,0.0159389532546355,0.0444198876536815,0.2829656560532236,0.4707376504371722,0.1488118081614342,0.1983558802207291,0.1761850331184186,0.1781359042504368,0.1457448872266913,0.2321546115291213,0.1563613752927887,0.4203000911389778,0.221285542644198,0.1545459829802351,0.1387885194147062,0.2517565902589221,0.1962863478842571,0.3434716997127879,0.2364541625428788,0.3091932768159612,0.1581520403910951
4696,0.0100565405800928,0.037928506224063,0.1942427804677528,0.0243370258596317,0.0005284254048513,0.0165351288459079,0.0377152213390725,0.0007021674991677,0.093475138266298,0.2939244236147028,0.0111800373924402,0.115394618332096,0.1388992398675896,0.0092166880265027,0.0149891890361827,0.0654506089125797,0.0049238301640642,0.2167791497444101,0.1197692042817264,0.0063139993907984,0.0042053635431918,0.075246815752179,0.0116859882117806,0.1514906965977422,0.1299221538430021,0.1227927320851277,0.0053772026506194
4697,0.0047056620640157,0.0004506362173937,0.0576388207922441,0.0001886313860269,0.0091684733098447,0.0314177725344457,0.0006746122981849,0.0556714659246,0.002314085356095,0.057309815739663,0.0229279086514691,0.0419339002298512,0.0806223863636652,0.0124390918480388,0.0016377532006322,0.0087768931223457,0.0,0.0088855516265102,0.0254796242724064,0.0350176576693703,0.0312976972241668,0.0056127185210194,0.0,0.0067766749226787,0.0303844377511991,0.0096850730974024,0.0
4698,0.0288338084812181,0.0070588130786067,0.0089791489973936,0.0041025252873298,0.0,0.0022392179878855,0.0,0.0,0.0160195659174018,0.0004636419324223,0.0,0.0089614536119254,0.0228865621507409,0.0027738964341083,0.0091679222513375,0.01009212286597,0.0144375516305088,0.0395457904658209,0.0059713237859939,0.0,0.0,0.0223683846912589,0.0,0.0339661098863421,0.0014653782492992,0.0075504085529022,0.0091889643786496
4699,0.0,0.0,0.0061528688854251,0.0,0.0,0.0,0.0,0.0,0.0,0.0060260914467662,0.0,0.0,0.0009315540838278,0.0,0.000404992752103,0.0018216874827333,0.0,9.357016385961004e-05,0.0066404707235695,0.0,0.0,0.0,0.0,0.0001513806574979,0.0005304988595583,0.0019088150858833,0.0
4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.516099018504294e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004544332523279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001595907140862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023404658231658,0.0003436787496595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4706,0.0026579045347014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404391229098722,0.0068321590208057,0.0272018182157673,0.0,5.5925967565761735e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151338665139013
4707,0.072054593826144,0.0,0.0,0.0061388718483384,0.0367502715889988,0.0,0.0125579211761613,0.0234199694508045,0.0,0.0,0.0171258124626707,0.0,0.0,0.0312694483818656,0.1142162711397853,0.0520769192844739,0.1089398844751951,0.0,0.0181018866051493,0.0016047261709932,0.0081048158210725,0.0007873448998523,0.0,0.0,0.0,0.0148190845477518,0.0939732575776227
4708,0.1771982013139257,0.0802638907222009,0.0033110652997,0.102742326791283,0.1410175820311267,0.0404060074160654,0.1274917570414559,0.152290109116837,0.0430039967325031,0.0,0.1202384265081136,0.0214164318615178,0.0,0.1217667916853226,0.2002988161943157,0.1264974843249376,0.2100682722023569,0.0,0.0683457301921418,0.0843495052501047,0.1032245159142322,0.0550656129681138,0.0777240844737399,0.0091531585840648,0.0157172067447227,0.0747897575852586,0.19486764074787
4709,0.2797208112221807,0.2145626120816791,0.0340594120112444,0.2117985073848176,0.2560314200281113,0.1700798661937579,0.2536250599244267,0.2717071922284504,0.1884219425597175,0.0055755054077315,0.231901834648251,0.1105936041610441,0.0275864373378595,0.225375898221994,0.2957837935082483,0.2162809483963831,0.3148280769291146,0.0370173070806328,0.1357414555690088,0.2013336999189836,0.2168586721812593,0.1582224071133632,0.195097540568999,0.1075714539877737,0.0834197513008827,0.1526145973800728,0.2971224148988737
4710,0.3867275198717239,0.3339786025065957,0.0838853624158796,0.3293131880323045,0.3636566201633001,0.3000979921447215,0.3836048448736843,0.3910764643195822,0.3163048259294745,0.1200238648503766,0.3465729590108886,0.1846459163017488,0.0725185787393147,0.3267741887572215,0.387712956015854,0.3122150345698067,0.4177809436203022,0.1767445487608134,0.2212355753273279,0.3225274761328836,0.3264014967947023,0.2427717113380598,0.3194657223929253,0.2229813776165411,0.1752871353152569,0.2256503629614486,0.4003602898017925
4711,0.4859091884822474,0.3888367467648558,0.1493358787094345,0.4188090942889917,0.4621980462851865,0.4286005229618315,0.5022430030556273,0.4990811539129514,0.4050054244565019,0.2574217378226521,0.4545570847168297,0.2720852801459027,0.1513110507990351,0.4172374405919908,0.4761951171991925,0.4103669643484103,0.5248997999877614,0.3148825878488858,0.3102025846923689,0.4381369102482688,0.4291489066317764,0.3244589579193805,0.4167183581299689,0.3425397456566676,0.297933801860902,0.3230627667199609,0.5009262964871553
