time,AT,BE,BG,CZ,CH,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK
154,0.3058103975535168,0.28735632183908044,0.28735632183908044,0.30864197530864196,0.3115264797507788,0.303951367781155,0.3115264797507788,0.35335689045936397,0.24875621890547267,0.37593984962406013,0.28169014084507044,0.31347962382445144,0.24875621890547267,0.2638522427440633,0.31545741324921134,0.3225806451612903,0.27027027027027023,0.3597122302158274,0.36363636363636365,0.2958579881656805,0.44052863436123346,0.3246753246753247,0.2518891687657431,0.33003300330033003,0.3731343283582089,0.28653295128939826,0.3508771929824561
155,0.29673590504451036,0.2857142857142857,0.2849002849002849,0.3058103975535168,0.3076923076923077,0.30303030303030304,0.30959752321981426,0.35842293906810035,0.2469135802469136,0.37593984962406013,0.27932960893854747,0.3067484662576687,0.24875621890547267,0.2577319587628866,0.3003003003003003,0.31545741324921134,0.2617801047120419,0.35335689045936397,0.36496350364963503,0.2958579881656805,0.44052863436123346,0.3194888178913738,0.24813895781637715,0.32679738562091504,0.3731343283582089,0.2785515320334262,0.3389830508474576
156,0.29239766081871343,0.28653295128939826,0.29325513196480935,0.3076923076923077,0.30959752321981426,0.3048780487804878,0.3115264797507788,0.3623188405797102,0.24630541871921185,0.37593984962406013,0.2785515320334262,0.30303030303030304,0.24875621890547267,0.25641025641025644,0.29154518950437314,0.3105590062111801,0.25839793281653745,0.3472222222222222,0.36496350364963503,0.29673590504451036,0.4464285714285714,0.31746031746031744,0.2469135802469136,0.33222591362126247,0.37453183520599254,0.27624309392265195,0.33003300330033003
157,0.29850746268656714,0.28901734104046245,0.30303030303030304,0.3115264797507788,0.31446540880503143,0.3067484662576687,0.31545741324921134,0.36496350364963503,0.24630541871921185,0.37735849056603776,0.27932960893854747,0.30120481927710846,0.25,0.2604166666666667,0.29411764705882354,0.30864197530864196,0.2597402597402597,0.3436426116838488,0.36496350364963503,0.29850746268656714,0.4566210045662101,0.3184713375796178,0.2469135802469136,0.33783783783783783,0.37735849056603776,0.2840909090909091,0.3246753246753247
158,0.31347962382445144,0.29154518950437314,0.3076923076923077,0.31446540880503143,0.3225806451612903,0.3105590062111801,0.3184713375796178,0.3676470588235294,0.2469135802469136,0.37735849056603776,0.2824858757062147,0.30303030303030304,0.25125628140703515,0.26881720430107525,0.3021148036253776,0.30864197530864196,0.26881720430107525,0.3436426116838488,0.36363636363636365,0.30120481927710846,0.4629629629629629,0.3184713375796178,0.24630541871921185,0.3424657534246575,0.3787878787878788,0.30303030303030304,0.3205128205128205
159,0.3215434083601286,0.2949852507374631,0.30959752321981426,0.31746031746031744,0.3278688524590164,0.31347962382445144,0.3215434083601286,0.37037037037037035,0.24875621890547267,0.3787878787878788,0.2857142857142857,0.3076923076923077,0.2518891687657431,0.27624309392265195,0.3105590062111801,0.3115264797507788,0.27548209366391185,0.3448275862068966,0.3623188405797102,0.30120481927710846,0.4694835680751174,0.3184713375796178,0.2469135802469136,0.3448275862068966,0.38167938931297707,0.3164556962025316,0.3194888178913738
160,0.3278688524590164,0.3003003003003003,0.3125,0.3205128205128205,0.32894736842105265,0.3164556962025316,0.3246753246753247,0.3717472118959108,0.2531645569620253,0.3802281368821293,0.2881844380403458,0.31347962382445144,0.2518891687657431,0.2824858757062147,0.3184713375796178,0.31545741324921134,0.2801120448179272,0.3484320557491289,0.36101083032490977,0.30303030303030304,0.4807692307692307,0.3184713375796178,0.2469135802469136,0.3460207612456747,0.3831417624521073,0.32679738562091504,0.3184713375796178
161,0.3333333333333333,0.3058103975535168,0.31347962382445144,0.3236245954692557,0.33112582781456956,0.3194888178913738,0.32679738562091504,0.3731343283582089,0.2597402597402597,0.38167938931297707,0.2898550724637681,0.31746031746031744,0.25252525252525254,0.28735632183908044,0.32679738562091504,0.3194888178913738,0.2824858757062147,0.3496503496503497,0.3597122302158274,0.3076923076923077,0.49019607843137253,0.3194888178913738,0.24875621890547267,0.3484320557491289,0.3861003861003861,0.33444816053511706,0.3184713375796178
162,0.33557046979865773,0.30959752321981426,0.31347962382445144,0.32679738562091504,0.33444816053511706,0.3225806451612903,0.3278688524590164,0.37453183520599254,0.26525198938992045,0.3831417624521073,0.29069767441860467,0.3194888178913738,0.2531645569620253,0.29239766081871343,0.33444816053511706,0.3215434083601286,0.2840909090909091,0.3472222222222222,0.3597122302158274,0.30959752321981426,0.49751243781094534,0.3205128205128205,0.2506265664160401,0.3496503496503497,0.38910505836575876,0.3401360544217687,0.3205128205128205
163,0.3389830508474576,0.3115264797507788,0.31347962382445144,0.32894736842105265,0.33783783783783783,0.3246753246753247,0.32894736842105265,0.37453183520599254,0.27027027027027023,0.3846153846153846,0.29239766081871343,0.3215434083601286,0.25380710659898476,0.2949852507374631,0.33670033670033667,0.3225806451612903,0.28653295128939826,0.3424657534246575,0.3597122302158274,0.3125,0.5025125628140703,0.3225806451612903,0.2518891687657431,0.35211267605633806,0.3921568627450981,0.3472222222222222,0.3225806451612903
